stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
188,183,Page Mill @ El Camino SW,37.42261032,-122.1425451,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=183
189,184,Page Mill @ Hanover (RP),37.417493,-122.146876,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=184
190,185,Hillview Ave. @ Porter Dr.,37.408678,-122.146608,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=185
191,186,Hillview Ave. @ Coyote Hill Rd. West,37.401312,-122.145402,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=186
192,187,3431 Hillview Ave. West,37.398543,-122.14441,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=187
193,188,1070 Arastredero Rd. Side (RP),37.394681,-122.146373,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=188
194,189,3495 Deer Creek Rd. East,37.39409057,-122.1486518,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=189
195,190,3475 Deer Creek Rd. East,37.395278,-122.149539,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=190
196,191,3475 Deer Creek Rd. West,37.395463,-122.150006,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=191
197,192,3495 Deer Creek Rd. West,37.393866,-122.148711,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=192
198,193,1070 Arastradero Rd. Front (RP),37.394153,-122.146616,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=193
199,194,3431 Hillview Ave. East,37.398935,-122.144397,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=194
200,195,Hillview Ave. @ Coyote Hill Rd. East,37.402242,-122.145527,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=195
201,196,Porter Dr. @  Hillview Ave,37.408784,-122.147473,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=196
202,197,Page Mill @ Hanover East (RP),37.417486,-122.146542,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=197
204,199,3145 Porter Drive,37.408737,-122.151617,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=199
211,206,Rosewood Hotel,37.41988,-122.210846,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=206
212,212,El Camino Real @ Safeway,37.450735,-122.177891,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=212
213,213,El Camino Real @ Staples,37.451559,-122.178719,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=213
